ASV.ID,Domain,Phylum,Class,Order,Family,Genus,Species
60cc7a3395fb0daeaa60d9d8af9f4051,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae,NA,NA
0a11dd5f5a6eeea84dac32096471cd2e,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas,NA
b5b182e90461b2e80f4e2b783b5056b5,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Ileibacterium, Ileibacterium_valens
5e99270d5a2c10a00f0cfa4985672582,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,NA,NA
888d005847febcca5ea1c943b2bf8c32,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae,NA,NA
0e2a5a5260d7e1060a0768e3cef4d687,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus,NA
3c17b3f74d0cff25e90e3db5b0ca7a2b,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides,NA
397b2f8e42f9fa4f7e37216716ebfcfe,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Beijerinckiaceae, Methylobacterium-Methylorubrum,NA
98f8475ff6c56443f62b2803251dcc86,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas,NA
1d5c79cffbeec32fb7eb24148e02a5e3,Bacteria, Firmicutes, Clostridia, Lachnospirales, Lachnospiraceae,NA,NA
9b6ed1d4f601b4bdb5e89ba85c4a46bb,Bacteria, Actinobacteriota, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces,NA
d2d480b667c0d25176b7ad8e933c0ae7,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelatoclostridiaceae, Erysipelatoclostridium, unidentified
a3adef9966b66c2606d80873d0d60c4e,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Methyloligellaceae, uncultured,NA
