ASV.ID,Domain,Phylum,Class,Order,Family,Genus,Species
0a3cf58d4ca062c13d42c9db4ebcbc53,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
22f1fa0bdcc19746dee080bcc12a1840,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Arachis_hypogaea
9b6ed1d4f601b4bdb5e89ba85c4a46bb,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
1a9ea7080c2384b199f9804b59bd3a1c,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
a4cbe987942964b584e95e4efab6a176,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
4cbfff144d4e7a4e0f4619ed505be070,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,NA,NA
60f791c08acbc94c597fb609c7e75a2e,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
ff9d93d7b7e46787568f2d241caeaf3b,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
d46e2205f0c6ecf67b51f83d111c509c,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA
7ea4b157e51f38c83a0693ce6ea70f53,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA
927a7ef6605e65ce0b31a4ff7fa66d82,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Arachis_hypogaea
1458990e888959afe94d5f9006de3f07,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Arachis_hypogaea
65d43491988bfe557da4d86a5ba25dae,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
a7674778c1e2be501e78e04aad3b52b6,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,NA
