,OTUID,Occ.unfil,relabund.unfil,meanRelAbund,Domain,Phylum,Class,Order,Family,Genus,Species,Family.ed,Genus.ed,OTUID.Genus
165,GAOK01049512.6271.8188,1,50.59668973,0.640464427,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Cercis gigantea,Cercis gigantea,Cercis gigantea,Chloroplast,Chloroplast,GAOK01049512.6271.8188 (Chloroplast)
353,MAMN01000047.249174.251307,0.987341772,11.63773608,0.147313115,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria,MAMN01000047.249174.251307 (Mitochondria)
175,GDAX01048398.486.2474,0.962025316,0.794121974,0.010052177,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast,GDAX01048398.486.2474 (Chloroplast)
53,CCPS01000022.154.1916,0.949367089,2.97837826,0.037700991,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,Enterobacteriaceae,Escherichia-Shigella,CCPS01000022.154.1916 (Escherichia-Shigella)
212,HO793511.1.1233,0.924050633,0.427747769,0.005414529,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast,HO793511.1.1233 (Chloroplast)
44,BABK02029359.1608.3968,0.911392405,0.579979574,0.007341514,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria,BABK02029359.1608.3968 (Mitochondria)
172,GCVR01032299.115.1608,0.898734177,0.239691791,0.003034073,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast,GCVR01032299.115.1608 (Chloroplast)
173,GDAH01000844.40.1969,0.886075949,0.326176582,0.004128817,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria,GDAH01000844.40.1969 (Mitochondria)
265,KC554503.1.1517,0.886075949,3.182099291,0.040279738,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces,KC554503.1.1517 (Streptomyces)
189,GQ495441.1.1492,0.873417722,0.066936748,0.000847301,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast,GQ495441.1.1492 (Chloroplast)
211,HO777920.18.1354,0.848101266,0.026922411,0.00034079,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Phaseolus acutifolius (tepary bean),Phaseolus acutifolius (tepary bean),Phaseolus acutifolius (tepary bean),Chloroplast,Chloroplast,HO777920.18.1354 (Chloroplast)
176,GEFP01046751.99.1466,0.82278481,0.010682694,0.000135224,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Arachis hypogaea (peanut),Arachis hypogaea (peanut),Mitochondria,Mitochondria,GEFP01046751.99.1466 (Mitochondria)
180,GEUY01004424.1.1233,0.82278481,0.006549825,8.29E-05,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast,GEUY01004424.1.1233 (Chloroplast)
171,GCKC01172251.105.1539,0.810126582,0.012116085,0.000153368,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Gleditsia sinensis,Gleditsia sinensis,Mitochondria,Mitochondria,GCKC01172251.105.1539 (Mitochondria)
332,KY646001.1.1573,0.810126582,1.611084008,0.020393468,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus,KY646001.1.1573 (Bacillus)
174,GDAH01000892.378.1918,0.797468354,0.00409278,5.18E-05,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria,GDAH01000892.378.1918 (Mitochondria)
313,KU310670.382095.384029,0.797468354,0.010014545,0.000126766,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria,KU310670.382095.384029 (Mitochondria)
