"","OTUID","Occ.bio.nc.unfil","Domain","Phyllum","Class","Order","Family","Genus","Species","Family.ed","Genus.ed"
"165","GAOK01049512.6271.8188",1,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Cercis gigantea","Cercis gigantea","Cercis gigantea","Chloroplast","Chloroplast"
"353","MAMN01000047.249174.251307",0.985915492957746,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"175","GDAX01048398.486.2474",0.957746478873239,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"53","CCPS01000022.154.1916",0.943661971830986,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","Enterobacteriaceae","Escherichia-Shigella"
"172","GCVR01032299.115.1608",0.943661971830986,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"212","HO793511.1.1233",0.943661971830986,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"44","BABK02029359.1608.3968",0.929577464788732,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"173","GDAH01000844.40.1969",0.929577464788732,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"189","GQ495441.1.1492",0.929577464788732,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"211","HO777920.18.1354",0.929577464788732,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Chloroplast","Chloroplast"
"171","GCKC01172251.105.1539",0.901408450704225,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Gleditsia sinensis","Gleditsia sinensis","Mitochondria","Mitochondria"
"176","GEFP01046751.99.1466",0.901408450704225,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Arachis hypogaea (peanut)","Arachis hypogaea (peanut)","Mitochondria","Mitochondria"
"180","GEUY01004424.1.1233",0.901408450704225,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"174","GDAH01000892.378.1918",0.887323943661972,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"265","KC554503.1.1517",0.887323943661972,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"313","KU310670.382095.384029",0.887323943661972,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"210","HO777250.1592.3082",0.873239436619718,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Mitochondria","Mitochondria"
"34","AY357215.644.2502",0.830985915492958,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"332","KY646001.1.1573",0.788732394366197,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"27","AMWY02006532.103.2040",0.774647887323944,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"63","CP018779.372609.374112",0.774647887323944,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA,"Rhizobiaceae","Ochrobactrum"
"274","KF386162.398325.400260",0.71830985915493,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"276","KF625186.1.1741",0.647887323943662,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica","Enterobacteriaceae","Raoultella"
"279","KF843326.1.1368",0.647887323943662,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"88","EF528273.1.1512",0.591549295774648,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
