,OTUID,Occ.unfil,Domain,Phylum,Class,Order,Family,Genus,Species,Family.ed,Genus.ed
165,GAOK01049512.6271.8188,1,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Cercis gigantea,Cercis gigantea,Cercis gigantea,Chloroplast,Chloroplast
353,MAMN01000047.249174.251307,0.987341772,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
175,GDAX01048398.486.2474,0.962025316,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
53,CCPS01000022.154.1916,0.949367089,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,Enterobacteriaceae,Escherichia-Shigella
212,HO793511.1.1233,0.924050633,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
44,BABK02029359.1608.3968,0.911392405,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
172,GCVR01032299.115.1608,0.898734177,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
173,GDAH01000844.40.1969,0.886075949,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
265,KC554503.1.1517,0.886075949,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces
189,GQ495441.1.1492,0.873417722,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
211,HO777920.18.1354,0.848101266,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Phaseolus acutifolius (tepary bean),Phaseolus acutifolius (tepary bean),Phaseolus acutifolius (tepary bean),Chloroplast,Chloroplast
176,GEFP01046751.99.1466,0.82278481,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Arachis hypogaea (peanut),Arachis hypogaea (peanut),Mitochondria,Mitochondria
180,GEUY01004424.1.1233,0.82278481,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
171,GCKC01172251.105.1539,0.810126582,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Gleditsia sinensis,Gleditsia sinensis,Mitochondria,Mitochondria
332,KY646001.1.1573,0.810126582,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
174,GDAH01000892.378.1918,0.797468354,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
313,KU310670.382095.384029,0.797468354,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
63,CP018779.372609.374112,0.784810127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA,Rhizobiaceae,Ochrobactrum
210,HO777250.1592.3082,0.784810127,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Phaseolus acutifolius (tepary bean),Phaseolus acutifolius (tepary bean),Mitochondria,Mitochondria
34,AY357215.644.2502,0.746835443,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
27,AMWY02006532.103.2040,0.696202532,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
276,KF625186.1.1741,0.683544304,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,Raoultella ornithinolytica,Enterobacteriaceae,Raoultella
274,KF386162.398325.400260,0.64556962,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
88,EF528273.1.1512,0.632911392,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
279,KF843326.1.1368,0.582278481,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,uncultured bacterium,uncultured bacterium,Chloroplast,Chloroplast
80,EF101305.1.1542,0.518987342,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
284,KJ161326.1.1708,0.46835443,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
168,GBHK01015628.2.1871,0.455696203,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
198,HAEP01038523.44.1571,0.443037975,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,Burkholderiaceae,f_Burkholderiaceae
130,FPID01000096.6.1486,0.430379747,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,metagenome,Pseudomonadaceae,Pseudomonas
299,KR026982.1.1447,0.430379747,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
350,LT592136.1.1584,0.417721519,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured prokaryote,uncultured prokaryote,uncultured prokaryote,Chloroplast,Chloroplast
188,GQ483458.1.1495,0.392405063,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
73,DQ298777.1.1540,0.35443038,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Xanthomonadaceae,Stenotrophomonas
339,LAVU01000228.149.1665,0.35443038,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA,Micrococcaceae,f_Micrococcaceae
178,GEOZ01011695.30.1942,0.278481013,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Millettia pinnata,Millettia pinnata,Millettia pinnata,Chloroplast,Chloroplast
87,EF517956.1.1666,0.265822785,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. IGCAR-9/07,Moraxellaceae,Acinetobacter
167,GBEF01033122.3018.4495,0.253164557,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
217,HQ455824.1.1542,0.253164557,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pantoea,NA,Enterobacteriaceae,Pantoea
247,JQ894900.1.1514,0.253164557,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
351,LT605585.1090822.1092349,0.240506329,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Brucella,NA,Rhizobiaceae,Brucella
59,CP011077.121006.122560,0.227848101,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,NA,Enterobacteriaceae,f_Enterobacteriaceae
68,CTEN01000001.315310.316856,0.227848101,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA,Streptococcaceae,Streptococcus
35,AY491594.1.1631,0.215189873,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,NA,Burkholderiaceae,uncultured
250,JRJC01000023.11.1813,0.215189873,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,NA,Enterobacteriaceae,Enterobacter
283,KJ013374.1.1531,0.202531646,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces
288,KM105816.1.1391,0.202531646,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
321,KX279643.1.1537,0.202531646,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces
1,AB252903.1.1522,0.189873418,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Delftia,NA,Burkholderiaceae,Delftia
69,CVJT01000011.50.2173,0.189873418,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,Staphylococcaceae,Staphylococcus
161,FR746074.1.1400,0.189873418,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
214,HQ121200.1.1459,0.189873418,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA,NA,Caulobacteraceae,f_Caulobacteraceae
32,AY030334.1.1514,0.17721519,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
52,CATO01000049.63.1649,0.17721519,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,NA,Enterobacteriaceae,Salmonella
11,AB696297.1.1439,0.164556962,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
93,EU196762.1.1499,0.164556962,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces
241,JOGX01000016.105867.107365,0.164556962,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces
295,KP096372.1.1487,0.164556962,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,Bacillaceae,Bacillus
334,KY711182.1.1549,0.164556962,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
100,EU771744.1.1413,0.151898734,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
202,HE965803.1704687.1706220,0.151898734,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,Burkholderiaceae,f_Burkholderiaceae
242,JQ516481.1.1429,0.151898734,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
269,KF026285.1.1556,0.151898734,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonadaceae,Pseudomonas
278,KF843170.1.1368,0.151898734,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
340,LGUW01000207.343.1894,0.151898734,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA,Streptomycetaceae,Streptomyces
57,CP007799.5360909.5362333,0.139240506,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
