OTUID,OTUID.ed,occ.chlo,com_abund.chlo,relabund,percentrelabund,Domain,Phylum,Class,Order,Family,Genus,Species,Family.ed,Genus.ed
GAOK01049512.6271.8188,GAOK01049512.6271.8188 (Chloroplast),1,76.59044435,0.969499296,96.94992955,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Cercis gigantea,Cercis gigantea,Cercis gigantea,Chloroplast,Chloroplast
GDAX01048398.486.2474,GDAX01048398.486.2474 (Chloroplast),0.962025316,1.213207593,0.015357058,1.535705814,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
HO793511.1.1233,HO793511.1.1233 (Chloroplast),0.924050633,0.629146598,0.007963881,0.796388099,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
GCVR01032299.115.1608,GCVR01032299.115.1608 (Chloroplast),0.898734177,0.383297849,0.004851872,0.48518715,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
GQ495441.1.1492,GQ495441.1.1492 (Chloroplast),0.873417722,0.110081616,0.001393438,0.139343818,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
HO777920.18.1354,HO777920.18.1354 (Chloroplast),0.848101266,0.046770165,0.000592027,0.05920274,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Phaseolus acutifolius (tepary bean),Phaseolus acutifolius (tepary bean),Phaseolus acutifolius (tepary bean),Chloroplast,Chloroplast
GEUY01004424.1.1233,GEUY01004424.1.1233 (Chloroplast),0.82278481,0.013772636,0.000174337,0.017433716,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
GBIZ01006467.5355.6826,GBIZ01006467.5355.6826 (Chloroplast),0.025316456,0.009410584,0.000119121,0.011912132,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Arachis hypogaea var. vulgaris,Arachis hypogaea var. vulgaris,Arachis hypogaea var. vulgaris,Chloroplast,Chloroplast
GEOZ01011695.30.1942,GEOZ01011695.30.1942 (Chloroplast),0.278481013,0.001384349,1.75E-05,0.00175234,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Millettia pinnata,Millettia pinnata,Millettia pinnata,Chloroplast,Chloroplast
KF843326.1.1368,KF843326.1.1368 (Chloroplast),0.582278481,0.001277949,1.62E-05,0.001617656,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,uncultured bacterium,uncultured bacterium,Chloroplast,Chloroplast
LT592136.1.1584,LT592136.1.1584 (Chloroplast),0.417721519,0.000533857,6.76E-06,0.000675768,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured prokaryote,uncultured prokaryote,uncultured prokaryote,Chloroplast,Chloroplast
GBEF01033122.3018.4495,GBEF01033122.3018.4495 (Chloroplast),0.253164557,0.000401646,5.08E-06,0.000508413,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
GAJR01016305.1169.2580,GAJR01016305.1169.2580 (Chloroplast),0.075949367,9.18E-05,1.16E-06,0.000116266,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA,NA,Chloroplast,Chloroplast
KX938022.1.1498,KX938022.1.1498 (Chloroplast),0.012658228,7.75E-05,9.81E-07,9.81E-05,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured marine eukaryote,uncultured marine eukaryote,uncultured marine eukaryote,Chloroplast,Chloroplast
GBTV01025760.129.1889,GBTV01025760.129.1889 (Chloroplast),0.025316456,5.57E-05,7.05E-07,7.05E-05,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Azolla filiculoides,Azolla filiculoides,Azolla filiculoides,Azolla filiculoides,Chloroplast
AB696344.1.1371,AB696344.1.1371 (Chloroplast),0.012658228,2.37E-05,3.00E-07,3.00E-05,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,uncultured bacterium,uncultured bacterium,Chloroplast,Chloroplast
JQ586274.1.1514,JQ586274.1.1514 (Chloroplast),0.012658228,2.21E-05,2.80E-07,2.80E-05,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,uncultured bacterium,uncultured bacterium,Chloroplast,Chloroplast
