sample_ID,well,sample_id,sample_name,PF_reads
1,A1,AFB_20210429_01,101,98262
2,B1,AFB_20210429_02,102,110898
3,C1,AFB_20210429_03,103,112454
4,D1,AFB_20210429_04,104,84153
5,E1,AFB_20210429_05,105,72411
6,F1,AFB_20210429_06,106,139348
7,G1,AFB_20210429_07,107,105494
8,H1,AFB_20210429_08,108,128291
9,A2,AFB_20210429_09,201,95275
10,B2,AFB_20210429_10,202,80668
11,C2,AFB_20210429_11,203,152090
12,D2,AFB_20210429_12,204,93235
13,E2,AFB_20210429_13,205,88076
14,F2,AFB_20210429_14,206,130379
15,G2,AFB_20210429_15,207,131847
16,H2,AFB_20210429_16,208,88672
17,A3,AFB_20210429_17,301,84738
18,B3,AFB_20210429_18,302,67909
19,C3,AFB_20210429_19,303,90724
20,D3,AFB_20210429_20,304,96723
21,E3,AFB_20210429_21,305,82124
22,F3,AFB_20210429_22,306,181107
23,G3,AFB_20210429_23,307,127938
24,H3,AFB_20210429_24,308,108488
25,A4,AFB_20210429_25,401,92418
26,B4,AFB_20210429_26,402,99461
27,C4,AFB_20210429_27,403,97922
28,D4,AFB_20210429_28,404,93546
29,E4,AFB_20210429_29,405,75182
30,F4,AFB_20210429_30,406,121599
31,G4,AFB_20210429_31,407,76343
32,H4,AFB_20210429_32,408,137810
33,A5,AFB_20210429_33,1001,92910
34,B5,AFB_20210429_34,1002,71026
35,C5,AFB_20210429_35,1003,83606
36,D5,AFB_20210429_36,1004,78276
37,E5,AFB_20210429_37,1005,83796
38,F5,AFB_20210429_38,1006,99241
39,G5,AFB_20210429_39,1007,86710
40,H5,AFB_20210429_40,1008,113878
41,A6,AFB_20210429_41,2001,92193
42,B6,AFB_20210429_42,2002,90865
43,C6,AFB_20210429_43,2003,101527
44,D6,AFB_20210429_44,2004,88760
45,E6,AFB_20210429_45,2005,81006
46,F6,AFB_20210429_46,2006,137685
47,G6,AFB_20210429_47,2007,101256
48,H6,AFB_20210429_48,2008,111868
49,A7,AFB_20210429_49,3001,84138
50,B7,AFB_20210429_50,3002,72580
51,C7,AFB_20210429_51,3003,94477
52,D7,AFB_20210429_52,3004,81637
53,E7,AFB_20210429_53,3005,87411
54,F7,AFB_20210429_54,3006,109550
55,G7,AFB_20210429_55,3007,92330
56,H7,AFB_20210429_56,3008,119105
57,A8,AFB_20210429_57,4001,86636
58,B8,AFB_20210429_58,4002,80357
59,C8,AFB_20210429_59,4003,84093
60,D8,AFB_20210429_60,4004,83817
61,E8,AFB_20210429_61,4005,96177
62,F8,AFB_20210429_62,4006,165537
63,G8,AFB_20210429_63,4007,103457
64,H8,AFB_20210429_64,4008,95042
65,A9,AFB_20210429_65,Mock1,88062
66,B9,AFB_20210429_66,Mock2,84741
67,C9,AFB_20210429_67,Mock3,82505
68,D9,AFB_20210429_68,Mock4,81803
69,E9,AFB_20210429_69,Mock5,93831
70,F9,AFB_20210429_70,Mock6,128832
71,G9,AFB_20210429_71,Mock7,113596
72,H9,AFB_20210429_72,NC1,3651
73,A10,AFB_20210429_73,NC2,1000
74,B10,AFB_20210429_74,NC3,2972
75,C10,AFB_20210429_75,NC4,253
76,D10,AFB_20210429_76,NC5,272
77,E10,AFB_20210429_77,NC6,11612
78,F10,AFB_20210429_78,NC7,29666
79,G12,ZymoMockDNA,RTSF_Zymo,120854
80,H12,RTSF_NTC,RTSF_NC,128
