SampleID,DNA_conc_ng_per_ul,batch
1001,0.848,1
1002,2.46,1
403,0.516,1
404,1.09,1
Mock1,252,1
NC1,0.01,1
4007,4,2
4008,15.3,2
407,11,2
408,6.04,2
Mock2,280,2
NC2,0.01,2
4001,8.04,3
4002,14.5,3
4003,3.96,3
4004,4.28,3
401,14.3,3
405,6.96,3
406,8.52,3
Mock3,59,3
NC3,0.01,3
1003,4.41,4
1004,0.01,4
1005,2.86,4
1006,2.45,4
3007,1.87,4
3008,0.847,4
107,5.87,4
108,1.99,4
301,4.33,4
302,5.64,4
303,2.11,4
304,3.73,4
Mock4,140,4
NC4,0.01,4
3001,1.41,5
3002,2.18,5
3003,1.1,5
3004,1.89,5
3005,1.25,5
3006,1.28,5
201,1.71,5
202,3.39,5
203,4.08,5
204,2.38,5
205,2.71,5
206,1.55,5
Mock5,160,5
NC5,0.01,5
2003,2.8,6
2004,4.63,6
2005,2.25,6
2006,6.02,6
2007,1.98,6
2008,2.46,6
207,6.11,6
208,10.9,6
105,7.4,6
106,2.87,6
101,13.2,6
102,3.57,6
Mock6,28,6
NC6,0.01,6
1008,6.61,7
1007,14.1,7
2001,5.6,7
2002,6.67,7
4005,1.21,7
4006,1.49,7
103,8.8,7
104,11,7
305,5.19,7
306,2.54,7
307,10.1,7
308,11,7
402,8.27,7
Mock7,51.4,7
NC7,0.01,7
