"","OTUID","Occ.bio.nc.unfil","Domain","Phylum","Class","Order","Family","Genus","Species","Genus.ed","Family.ed"
"152","GAOK01049512.6271.8188",1,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Cercis gigantea","Cercis gigantea","Cercis gigantea","Chloroplast","Chloroplast"
"317","MAMN01000047.249174.251307",1,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"53","CCPS01000022.154.1916",0.971830985915493,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","Escherichia-Shigella","Enterobacteriaceae"
"155","GCVR01032299.115.1608",0.957746478873239,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"158","GDAX01048398.486.2474",0.957746478873239,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"193","HO793511.1.1233",0.957746478873239,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"228","JOGX01000016.105867.107365",0.943661971830986,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomyces","Streptomycetaceae"
"73","DQ629536.1.1284",0.929577464788732,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"308","LN885259.156216.157719",0.929577464788732,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"48","BABK02029359.1608.3968",0.915492957746479,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"156","GDAH01000844.40.1969",0.915492957746479,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"159","GEFP01046751.99.1466",0.915492957746479,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Arachis hypogaea (peanut)","Arachis hypogaea (peanut)","Mitochondria","Mitochondria"
"160","GEUY01004424.1.1233",0.901408450704225,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"200","HQ183518.1.1491",0.901408450704225,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"233","JR951091.270.2233",0.901408450704225,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"319","MJEQ01037191.43866869.43868322",0.901408450704225,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Nicotiana attenuata","Nicotiana attenuata","Nicotiana attenuata","Chloroplast","Chloroplast"
"157","GDAH01000892.378.1918",0.887323943661972,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"238","KA250240.138.1720",0.845070422535211,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"37","AY357215.644.2502",0.816901408450704,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"24","AMWY02006532.103.2040",0.76056338028169,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"257","KF625186.1.1741",0.704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica","Raoultella","Enterobacteriaceae"
"59","CP018779.372609.374112",0.661971830985915,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA,"Ochrobactrum","Rhizobiaceae"
"259","KF843326.1.1368",0.661971830985915,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
